country,pagerank_as_destination,pagerank_as_passport,in_degree,out_degree,betweenness,hub_authority_gap,name
NIC,0.006032651460725315,0.009108048499086025,162,110,0.007108160228003286,0.00307539703836071,Nicaragua
SEN,0.0035173663642674175,0.008226818542168647,135,56,0.006584918559240001,0.00470945217790123,Senegal
SLE,0.0030549951283804846,0.00828408726857988,136,59,0.0037926794577802037,0.005229092140199395,Sierra Leone
SYR,0.0013293693375254364,0.0017436807880244066,25,26,8.390970568177561e-05,0.00041431145049897027,Syria
TJK,0.002216674061583208,0.004335501493025591,96,55,0.0008408108297386813,0.0021188274314423833,Tajikistan
TUN,0.005052525484983236,0.004776801172859777,99,65,0.009541007736796562,-0.00027572431212345965,Tunisia
YEM,0.0015837896543749292,0.0013011351107721845,12,33,6.780055479268238e-05,-0.00028265454360274465,Yemen
ARG,0.007671954295449323,0.0034874047058904762,90,148,0.001214878538015937,-0.004184549589558847,Argentina
AUS,0.008328026065985662,0.0017389900258837528,46,157,7.017093407655818e-05,-0.006589036040101909,Australia
BHS,0.0073216486111162835,0.006213453101272871,122,139,0.004167043356446562,-0.0011081955098434125,Bahamas
BHR,0.0038325295565333653,0.0026048320306655288,71,86,0.0010244459149571325,-0.0012276975258678365,Bahrain
BLZ,0.003814886259571196,0.005096842376099811,106,87,0.001023282477152272,0.0012819561165286148,Belize
BOL,0.003047834543811463,0.0023587156478561025,60,71,0.00016889521522433536,-0.0006891188959553605,Bolivia
CAN,0.008276483727474674,0.0020541697552358576,54,155,0.000287196056635562,-0.006222313972238816,Canada
CRI,0.006988686659241391,0.003987770549242713,95,128,0.0010063745497128824,-0.003000916109998678,Costa Rica
SWZ,0.002655047053593074,0.005042616561362216,97,68,0.0005260742252883213,0.002387569507769142,Swaziland
GTM,0.006288974661459597,0.003275951997058027,86,114,0.0006226762055733572,-0.0030130226644015704,Guatemala
HND,0.006285987394019816,0.00332975107390406,86,114,0.0007516934568498498,-0.0029562363201157556,Honduras
IRL,0.008548783637698978,0.0031150280096110413,78,160,0.0008149187264472556,-0.005433755628087936,Ireland
JPN,0.009059580199586111,0.002828565967178453,74,162,0.0017129265672402082,-0.006231014232407657,Japan
KWT,0.004442516971460389,0.0023393872941288273,57,96,0.0012355487822905409,-0.002103129677331562,Kuwait
MEX,0.007149467014132291,0.002552510571316823,66,136,0.00034677466987413587,-0.0045969564428154685,Mexico
NAM,0.0027099452214755233,0.008001757055125253,137,69,0.0020049381247120627,0.0052918118336497295,Namibia
NZL,0.008429258592940511,0.0022460374070670417,61,158,0.00048340575433644163,-0.006183221185873469,New Zealand
OMN,0.0037611392645975936,0.00336372643263716,83,82,0.0015098504455389548,-0.00039741283196043347,Oman
PAN,0.006829550787561884,0.005175448504676806,116,126,0.0024860286738193228,-0.0016541022828850784,Panama
PNG,0.0029987724667934032,0.004571995237216524,95,72,0.0005513525725126634,0.0015732227704231207,Papua New Guinea
PRY,0.006967695527196606,0.002530940788279532,71,127,0.0005255003048208773,-0.0044367547389170744,Paraguay
PER,0.007054988051601124,0.004242068135041509,103,133,0.0014139986349767863,-0.002812919916559615,Peru
PHL,0.002671113147558174,0.00948898696202453,161,62,0.004034343182975992,0.006817873814466357,Philippines
QAT,0.005312245222782643,0.004198739027758183,99,105,0.004078113813012383,-0.0011135061950244603,Qatar
RUS,0.005059619737398769,0.004003663725597082,66,114,0.002522233236661487,-0.0010559560118016875,Russia
LCA,0.00651271314245861,0.008269532610076276,143,125,0.00589937018888456,0.0017568194676176657,Saint Lucia
STP,0.002245064792039423,0.002819560041895442,58,59,0.0002712378592333457,0.0005744952498560191,Sao Tome and Principe
SLB,0.006345330685642971,0.0032757464321568563,76,119,0.000705372390750154,-0.0030695842534861147,Solomon Islands
ZAF,0.004097384497391532,0.004824584077223096,93,94,0.0024519019033033196,0.0007271995798315634,South Africa
GBR,0.008419404897789869,0.003536188508097119,86,156,0.0012279001239507608,-0.0048832163896927495,United Kingdom
USA,0.00820211342244672,0.001873607463638329,46,153,0.00016649104446685544,-0.006328505958808392,United States
URY,0.007302785258512542,0.003230445953309779,85,137,0.0007711771778322771,-0.004072339305202764,Uruguay
UZB,0.0024604594017990223,0.003643904202136231,94,60,0.0005424047334242894,0.0011834448003372085,Uzbekistan
VUT,0.003319669532184919,0.006365297585525022,120,80,0.0016080622412412027,0.0030456280533401035,Vanuatu
VEN,0.005735145035047629,0.003580946308129583,74,109,0.0010584532767702337,-0.0021541987269180466,Venezuela
